Basin,Operator,01/03/2022,01/12/2022,11/22/2021,12/14/2021,12/20/2021,12/27/2021,All
Barnett,"TRIO CONSULTING & MANAGEMENT,LLC",,,,1.0,,,1
Barnett,"WEST TEXAS OIL AND GAS OPER.,INC",1.0,1.0,1.0,1.0,1.0,1.0,6
Barnett,WILCOX PETROLEUM OPERATING LLC.,,,1.0,,,,1
Cherokee,GLB EXPLORATION INC,,1.0,,,,,1
DJ Basin,BEREXCO LLC,,,1.0,,,,1
DJ Basin,"PALOMINO PETROLEUM, INC.",,,1.0,,,,1
DJ Basin,ADVANTAGE RESOURCES INC,1.0,1.0,1.0,1.0,1.0,1.0,6
DJ Basin,"ARCADIAN RESOURCES, LLC",,,1.0,,,,1
DJ Basin,BAYSWATER EXPLORATION & PRODUCTION LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
DJ Basin,"BLACK OAK EXPLORATION, LLC",,,1.0,1.0,1.0,,3
DJ Basin,BONANZA CREEK ENERGY OPERATING COMPANY LLC,,,,1.0,1.0,1.0,3
DJ Basin,"BRITO OIL COMPANY, INC.",,,,1.0,,,1
DJ Basin,CANYON OPERATING LLC,,,1.0,,,,1
DJ Basin,"CARBON VENTURES, LLC",1.0,1.0,,1.0,1.0,1.0,5
DJ Basin,CRESTONE PEAK RESOURCES OPERATING LLC,,1.0,2.0,1.0,,,4
DJ Basin,"DARRAH OIL COMPANY, LLC",,,,1.0,1.0,,2
DJ Basin,DAVIDSON OIL & GAS LLC,,,,,1.0,,1
DJ Basin,DOWNING-NELSON OIL CO INC,,,1.0,,,,1
DJ Basin,EME WYOMING LLC,,,1.0,,,,1
DJ Basin,EXTRACTION OIL & GAS INC,2.0,2.0,2.0,2.0,2.0,2.0,12
DJ Basin,GREAT WESTERN OPERATING COMPANY LLC,2.0,2.0,2.0,2.0,2.0,2.0,12
DJ Basin,KERR MCGEE OIL & GAS ONSHORE LP,1.0,1.0,1.0,1.0,1.0,1.0,6
DJ Basin,"L. D. DRILLING, INC.",1.0,1.0,,,,1.0,3
DJ Basin,LONGS PEAK RESOURCES LLC,,,,1.0,1.0,1.0,3
DJ Basin,MALLARD EXPLORATION LLC,,1.0,,,1.0,1.0,3
DJ Basin,"MULL DRILLING COMPANY, INC.",,,,1.0,1.0,1.0,3
DJ Basin,"MURFIN DRILLING CO., INC.",2.0,2.0,,1.0,1.0,2.0,8
DJ Basin,"MURFIN DRILLING COMPANY, INC",1.0,,1.0,1.0,1.0,1.0,5
DJ Basin,NOBLE ENERGY INC,1.0,1.0,1.0,1.0,1.0,1.0,6
DJ Basin,PDC ENERGY INC,2.0,1.0,,,1.0,2.0,6
DJ Basin,"PDC ENERGY, INC",,1.0,1.0,1.0,1.0,,4
DJ Basin,"PIONEER OIL COMPANY, INC.",,,,1.0,1.0,,2
DJ Basin,"RAYMOND OIL COMPANY, INC.",,,,,1.0,,1
DJ Basin,SAMSON EXPLORATION LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
DJ Basin,"SHAKESPEARE OIL CO., INC.",,,1.0,,,,1
DJ Basin,THOROUGHBRED ASSOCIATES LLC,1.0,1.0,,1.0,1.0,1.0,5
DJ Basin,VERDAD RESOURCES LLC,1.0,1.0,1.0,1.0,1.0,,5
Eagleford,CHEYENNE PETROLEUM COMPANY,1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"FORZA OPERATING, LLC",,,,1.0,1.0,1.0,3
Eagleford,VERDUN OIL & GAS LLC,1.0,1.0,1.0,2.0,1.0,,6
Eagleford,"AGERON IRONROC ENERGY, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,APACHE CORPORATION,1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"BLACKBRUSH O & G, LLC",1.0,1.0,,1.0,1.0,1.0,5
Eagleford,BPX OPERATING COMPANY,3.0,4.0,1.0,2.0,2.0,3.0,15
Eagleford,BURLINGTON RESOURCES O & G CO LP,5.0,5.0,4.0,5.0,5.0,5.0,29
Eagleford,CALLON (EAGLE FORD) LLC,1.0,1.0,1.0,,1.0,1.0,5
Eagleford,"CHESAPEAKE OPERATING, L.L.C.",,1.0,,,,,1
Eagleford,"CML EXPLORATION, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"COMSTOCK OIL & GAS, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"CRIMSON ENERGY PARTNERS IV, LLC",,1.0,,,,,1
Eagleford,"DALLAS PETROLEUM GROUP, LLC",,,1.0,1.0,,,2
Eagleford,"DEVON ENERGY PRODUCTION CO, L.P.",,,1.0,1.0,1.0,,3
Eagleford,ENSIGN OPERATING LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"EOG RESOURCES, INC.",4.0,5.0,6.0,6.0,6.0,6.0,33
Eagleford,"ESCONDIDO RESOURCES OPER CO, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"GEOSOUTHERN OPERATING II, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"GRIT OIL & GAS MANAGEMENT, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"GULFTEX ENERGY, LLC",1.0,1.0,,,,,2
Eagleford,"HAWKWOOD ENERGY OPERATING, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"HEADINGTON ENERGY PARTNERS, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
